TestID,AvgCost,MinCost,MaxCost,AvgTime,MinTime,MaxTime,SuccessRate
tuning_bl,394.00,394,394,3.1855,2.5179,5.1317,100%
tuning_01,404.00,404,404,60.1516,60.0129,60.4895,100%
tuning_02,394.00,394,394,60.1880,60.0678,60.2816,100%
tuning_03,394.00,394,394,60.1475,60.0500,60.2653,100%
tuning_04,398.00,394,404,60.7372,60.1202,62.5635,100%
tuning_05,394.00,394,394,60.2048,60.0122,60.3967,100%
tuning_06,396.00,394,404,60.3046,60.0988,60.8684,100%
tuning_07,396.00,394,404,60.2262,60.0057,60.4117,100%
tuning_08,396.00,394,404,60.1141,60.0384,60.2592,100%
tuning_09,400.00,394,404,60.1727,60.1045,60.3005,100%
tuning_10,398.00,394,404,60.4546,60.0025,61.8781,100%
