TestID,AvgCost,MinCost,MaxCost,AvgTime,MinTime,MaxTime,SuccessRate
tuning_bl,394.00,394,394,71.1470,67.9706,73.4257,100%
tuning_01,398.00,394,404,61.7881,60.2752,65.2854,100%
tuning_02,396.00,394,404,60.7143,60.2893,61.0124,100%
tuning_03,404.00,394,424,60.6097,60.4378,60.9852,100%
tuning_04,404.00,394,414,61.3778,60.2992,64.4258,100%
tuning_05,427.60,404,466,61.4609,60.0680,65.4585,100%
tuning_06,434.00,404,466,61.6497,60.5323,64.0389,100%
tuning_07,439.20,404,492,60.7968,60.2734,61.4392,100%
tuning_08,451.60,430,476,60.6761,60.4914,60.9187,100%
tuning_09,437.20,394,492,60.7519,60.0773,61.2660,100%
tuning_10,478.40,430,544,60.9583,60.0852,61.5020,100%
