TestID,AvgCost,MinCost,MaxCost,AvgTime,MinTime,MaxTime,SuccessRate
test2_greedy_basic_01,765.00,765,765,0.1305,0.1305,0.1305,100%
test1_greedy_basic_01,637.00,637,637,0.2144,0.2144,0.2144,100%
test1_cplex_opl_01,587.00,587,587,4.6876,4.6876,4.6876,100%
test3_greedy_basic_01,950.00,950,950,0.3581,0.3581,0.3581,100%
test2_cplex_opl_01,628.00,628,628,9.4128,9.4128,9.4128,100%
test1_grasp_full_01,587.00,587,587,60.0172,60.0172,60.0172,100%
test2_grasp_full_01,628.00,628,628,60.0514,60.0514,60.0514,100%
test3_grasp_full_01,928.00,928,928,60.1476,60.1476,60.1476,100%
test3_cplex_opl_01,950.00,950,950,67.6728,67.6728,67.6728,100%
